"Obj","Res","Goa","Hyp","Bac","Exp","Obs","Con","Mot","Met","Mod"
0,0.0744827586206896,0,0.013986013986014,0.0636168691922802,0,0.0848375451263538,0.0855263157894737,0,0,0.347290640394089
0,0.0841379310344828,0,0,0.0493209435310936,0,0.0162454873646209,0.0296052631578947,0,0,0.0985221674876847
0,0.283448275862069,0,0.00699300699300699,0.0621872766261615,0,0.0162454873646209,0.0559210526315789,0,0,0.131773399014778
0,0.153793103448276,0,0.034965034965035,0.0300214438884918,0,0.0541516245487365,0.00328947368421053,0,0,0.149014778325123
0,0.197931034482759,0,0.0629370629370629,0.184417441029307,0,0.0649819494584837,0.0230263157894737,0,0,0.108374384236453
0,0.113103448275862,0.318181818181818,0.041958041958042,0.0729092208720515,0,0.0126353790613718,0.0559210526315789,0.176470588235294,0.0479704797047971,0.103448275862069
0,0.117931034482759,0.0909090909090909,0.244755244755245,0.0972122944960686,0,0.0433212996389892,0.131578947368421,0,0.00738007380073801,0.189655172413793
0.0612244897959184,0.195862068965517,0.181818181818182,0.461538461538462,0.153681200857756,0.02,0.0433212996389892,0.0855263157894737,0.235294117647059,0.00738007380073801,0.32512315270936
0.0408163265306122,0.163448275862069,0.136363636363636,0.202797202797203,0.0378842030021444,0.00181818181818182,0.0342960288808664,0.0230263157894737,0,0.0590405904059041,0.0492610837438424
0,0,0,0,0.0800571837026448,0,0.01985559566787,0.00986842105263158,0,0.029520295202952,0
0.0408163265306122,0.000689655172413793,0.0909090909090909,0.020979020979021,0.147248034310222,0.0163636363636364,0,0.111842105263158,0,0.014760147601476,0.0381773399014778
0,0.0910344827586207,0.227272727272727,0,0.0335954253037884,0,0.036101083032491,0.0394736842105263,0,0.040590405904059,0.0972906403940887
0.0204081632653061,0.218620689655172,0.0909090909090909,0.132867132867133,0.151536812008578,0.00545454545454545,0.0667870036101083,0.131578947368421,0.0588235294117647,0.025830258302583,0.123152709359606
0,0.00344827586206897,0,0,0.0714796283059328,0,0.00180505415162455,0.00328947368421053,0,0.025830258302583,0.0160098522167488
0.0204081632653061,0.0786206896551724,0.318181818181818,0.118881118881119,0.110793423874196,0.0163636363636364,0.0379061371841155,0.0625,0,0.0516605166051661,0.131773399014778
0,0.0262068965517241,0.136363636363636,0.216783216783217,0.0335954253037884,0,0.0126353790613718,0.0164473684210526,0,0.00738007380073801,0.0874384236453202
0.204081632653061,0.0779310344827586,0.227272727272727,0.020979020979021,0.117941386704789,0.0109090909090909,0.0234657039711191,0.0296052631578947,0.235294117647059,0.018450184501845,0.214285714285714
0.0204081632653061,0.146896551724138,0.0454545454545455,0,0.097927090779128,0,0.0126353790613718,0.0559210526315789,0.0588235294117647,0.00738007380073801,0.0529556650246305
0,0.0827586206896552,0.0454545454545455,0.132867132867133,0.0607576840600429,0.00181818181818182,0.0433212996389892,0.0559210526315789,0,0.025830258302583,0.274630541871921
0,0.0124137931034483,0.181818181818182,0,0.112223016440315,0.0145454545454545,0.0036101083032491,0.0493421052631579,0,0.033210332103321,0.0406403940886699
0.102040816326531,0.317241379310345,0.181818181818182,0.188811188811189,0.0686204431736955,0.0218181818181818,0.108303249097473,0.0263157894736842,0.0588235294117647,0.014760147601476,0.171182266009852
0.0204081632653061,0.375862068965517,0.272727272727273,0.0769230769230769,0.110078627591137,0.0872727272727273,0.0613718411552347,0.0526315789473684,0.235294117647059,0.380073800738007,0.114532019704433
0,0.418620689655172,0.318181818181818,0.027972027972028,0.224446032880629,0.0163636363636364,0.092057761732852,0.0559210526315789,0.294117647058824,0.044280442804428,0.222906403940887
0.0612244897959184,0.0951724137931034,0.272727272727273,0.0699300699300699,0.155110793423874,0,0.0397111913357401,0.0855263157894737,0.117647058823529,0.025830258302583,0.216748768472906
0,0,0,0,0.12723373838456,0,0,0.0657894736842105,0.0588235294117647,0,0.0233990147783251
0.0204081632653061,0.270344827586207,0.136363636363636,0.104895104895105,0.10650464617584,0,0.153429602888087,0.0888157894736842,0,0.011070110701107,0.28448275862069
0,0.12551724137931,0.0909090909090909,0.0559440559440559,0.097927090779128,0,0.131768953068592,0.0263157894736842,0.0588235294117647,0.003690036900369,0.142857142857143
0.0204081632653061,0.0213793103448276,0.5,0.013986013986014,0.0564689063616869,0,0,0.0394736842105263,0.0588235294117647,0,0.0110837438423645
0,0.00137931034482759,0.0909090909090909,0.027972027972028,0.358827734095783,0,0.0036101083032491,0.0263157894736842,0.0588235294117647,0.033210332103321,0.00123152709359606
0.0204081632653061,0.0179310344827586,0,0.0629370629370629,0.107219442458899,0,0,0.0394736842105263,0,0.0479704797047971,0.0172413793103448
0,0.00137931034482759,0,0,0.0200142959256612,0,0.00902527075812274,0,0,0.0811808118081181,0.00369458128078818
